year,ndvi_mean
2000.0,0.11687997242994588
2001.0,0.12065772915678707
2002.0,0.11991350548953089
2003.0,0.1097175530807845
2004.0,0.11051561808226301
2005.0,0.10583204736530082
2006.0,0.11647274462981225
2007.0,0.11171933771511085
2008.0,0.11586872060021976
2009.0,0.11149661933986488
2010.0,0.10976654715858083
2011.0,0.1248433370221288
2012.0,0.13907033949583353
2013.0,0.13024120533959296
2014.0,0.1153967082308567
2015.0,0.1347628844323892
2016.0,0.11975220621391422
2017.0,0.13979990629078967
2018.0,0.12242361959279262
2019.0,0.13168197195988177
2020.0,0.14682421641794732
2021.0,0.13066704980163918
2022.0,0.12371082089197057
2023.0,0.13801901703685202
2024.0,0.13492629550401125
2025.0,0.14855795961329385
